City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Albion,30257,New York,8.7,4.8,5.3,4.8,5.5,10.4,11.1,11.5,15.1,13.5,8.0,3.7,2.5,5799
Brushton,30000,New York,6.8,6.2,11.7,6.2,9.5,2.4,10.4,10.8,15.4,16.3,5.9,3.7,0.9,546
Elmira,29865,New York,6.9,6.0,6.9,6.0,7.5,9.6,14.6,13.2,12.8,11.0,6.1,3.4,2.0,29046
Salamanca,29858,New York,8.6,6.9,7.6,6.9,7.4,6.2,13.0,10.0,15.0,10.4,7.8,4.9,2.1,5717
New York Mills,29724,New York,7.3,6.1,8.0,6.1,5.9,4.2,7.5,12.0,12.2,9.4,11.8,9.9,5.7,3001
Friendship,29449,New York,7.4,4.6,8.4,4.6,8.4,10.7,9.1,16.3,13.5,10.6,6.3,3.4,1.2,1138
Edwards,29286,New York,5.5,4.8,5.1,4.8,8.7,3.9,12.2,5.1,15.8,15.1,14.8,6.4,2.6,311
Lyons,29278,New York,4.6,6.5,5.3,6.5,6.6,8.0,11.3,11.3,15.2,12.9,9.9,5.2,3.3,3343
Ontario,28954,New York,2.6,7.9,5.0,7.9,2.8,6.1,12.3,8.5,22.9,16.1,8.4,4.7,2.8,2188
Liberty,27868,New York,10.1,5.9,6.9,5.9,4.0,6.0,16.3,9.4,11.0,15.8,8.5,2.5,3.7,4281
Altmar,27813,New York,5.7,11.8,7.3,11.8,8.3,4.6,9.4,15.6,16.4,13.2,5.1,2.2,0.5,372
Remsen,27105,New York,7.9,8.6,10.3,8.6,9.2,5.2,12.4,13.5,11.4,9.0,9.6,1.5,1.5,534
Margaretville,26458,New York,0.7,1.5,0.9,1.5,5.6,5.6,5.6,7.1,11.5,18.4,16.0,16.1,11.1,539
North Creek,26161,New York,6.2,2.0,1.7,2.0,10.3,2.7,8.9,7.9,2.2,20.2,10.1,22.4,5.4,406
Kiryas Joel,25795,New York,23.0,19.6,14.4,19.6,7.2,8.1,13.8,6.9,2.6,3.2,0.7,0.2,0.2,21201
Henderson,23750,New York,8.7,6.5,4.9,6.5,8.2,4.4,12.0,8.7,8.2,12.5,7.6,9.2,9.2,184
Monticello,21881,New York,7.4,8.0,6.4,8.0,5.5,5.8,17.4,11.7,11.1,14.2,6.8,4.6,1.2,6780
Yorkshire,21438,New York,0.7,2.6,1.9,2.6,5.0,10.1,5.9,8.5,19.9,21.8,10.2,9.4,4.0,1103
Kaser,20634,New York,24.1,17.6,12.7,17.6,8.8,9.2,14.4,6.6,1.9,3.8,0.5,0.3,0.2,4919
Alfred,20227,New York,0.4,0.5,0.3,0.5,48.2,41.0,4.7,0.8,1.2,1.1,0.8,0.7,0.3,4278
