City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Southchase,52083,Florida,5.5,6.9,8.7,6.9,7.3,6.4,11.7,15.9,19.4,11.1,4.5,2.2,0.4,16131
Virginia Gardens,52014,Florida,6.0,5.0,7.6,5.0,4.8,6.7,11.4,14.7,14.7,12.8,8.5,5.1,3.0,2632
Boynton Beach,52008,Florida,5.6,5.5,4.3,5.5,5.6,6.8,13.9,12.1,13.3,11.8,8.5,7.7,5.0,70355
Ridge Wood Heights,51991,Florida,6.3,4.8,5.1,4.8,4.3,8.0,13.7,13.5,16.0,13.8,9.2,4.3,1.1,4953
Ormond-By-The-Sea,51958,Florida,2.1,3.4,3.1,3.4,3.1,3.3,8.4,9.6,16.1,19.6,15.6,11.8,4.0,7764
Balm,51932,Florida,10.1,8.7,8.7,8.7,3.8,6.0,20.4,11.2,12.1,9.2,8.4,0.7,0.5,1688
Lantana,51847,Florida,5.6,6.4,6.4,6.4,6.3,8.3,9.5,12.6,15.9,12.8,9.0,4.1,3.3,10822
University CDP,51687,Florida,3.2,3.9,3.4,3.9,34.6,23.4,10.8,5.9,6.3,5.0,1.8,1.3,0.5,30926
San Carlos Park,51639,Florida,4.8,4.5,7.6,4.5,5.6,10.3,13.5,13.1,17.9,12.3,5.3,3.7,1.3,17646
Largo,51545,Florida,4.3,4.6,4.7,4.6,4.1,5.6,12.4,11.5,14.5,13.5,12.1,8.4,4.3,78391
North Deland,51458,Florida,8.3,10.8,7.7,10.8,3.4,7.1,8.8,9.9,17.1,6.6,8.1,8.1,4.3,1540
Bristol,51429,Florida,7.1,6.4,4.5,6.4,6.4,9.6,13.0,7.9,12.3,10.7,10.1,10.6,1.6,965
Woodville,51341,Florida,3.7,5.6,8.0,5.6,6.0,14.9,6.6,15.6,15.9,12.9,5.5,3.7,1.7,2786
