City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Lupton,47375,Michigan,4.6,1.9,3.8,1.9,6.5,4.9,14.8,4.6,10.3,24.3,13.7,8.8,1.9,263
Lake Linden,47292,Michigan,9.0,6.5,5.1,6.5,4.8,3.3,11.9,10.4,10.7,16.6,13.6,5.0,3.2,1108
Mattawan,47260,Michigan,3.5,8.8,11.7,8.8,6.9,4.6,12.9,12.3,15.9,13.5,4.6,4.3,1.1,2075
Sunfield,47250,Michigan,13.7,4.9,7.1,4.9,6.8,2.6,19.2,10.8,17.7,8.9,4.5,3.5,0.5,651
Benzonia,47250,Michigan,3.8,12.2,9.0,12.2,4.5,11.1,8.8,11.3,12.9,11.7,8.1,5.0,1.6,443
Menominee,47120,Michigan,5.6,6.4,5.9,6.4,6.6,6.0,11.8,9.8,15.1,14.2,8.9,6.8,3.0,8516
Escanaba,47017,Michigan,5.7,5.5,6.0,5.5,5.0,7.0,12.3,10.2,12.6,13.9,9.5,7.5,4.7,12529
Leslie,46875,Michigan,4.3,8.7,9.5,8.7,8.1,3.7,15.1,11.9,13.9,10.7,9.0,3.5,1.8,1798
Forestville,46875,Michigan,5.8,13.0,4.4,13.0,2.9,2.9,4.4,7.3,5.8,17.4,30.4,4.4,1.5,69
Elberta,46771,Michigan,4.1,1.4,7.7,1.4,2.7,5.0,7.7,15.8,12.2,14.0,13.6,12.7,3.2,221
Woodland Beach,46750,Michigan,3.1,4.2,10.9,4.2,4.3,9.7,5.0,10.3,18.6,22.2,7.1,1.7,3.0,1728
Alma,46732,Michigan,5.9,5.8,5.1,5.8,12.1,13.5,12.1,10.3,11.8,8.6,6.4,3.8,4.6,9289
Stephenson,46719,Michigan,4.8,4.5,6.5,4.5,7.2,7.4,9.4,8.7,11.9,13.2,8.8,11.5,6.3,877
Sandusky,46691,Michigan,5.0,4.6,5.1,4.6,7.7,4.5,11.3,13.4,15.7,14.1,9.0,6.2,3.5,2638
Burr Oak,46667,Michigan,10.0,7.1,9.7,7.1,4.8,5.5,14.7,13.3,15.2,9.7,6.2,2.5,1.4,817
Cement City,46563,Michigan,5.0,3.3,7.3,3.3,7.3,11.6,7.7,14.1,17.3,15.4,6.0,3.1,1.9,481
Galien,46563,Michigan,2.2,7.3,10.6,7.3,6.0,4.1,13.4,10.4,24.5,11.9,4.7,3.4,1.7,538
Dryden,46550,Michigan,4.8,3.7,7.4,3.7,9.5,8.4,8.2,16.6,21.4,9.9,5.5,3.0,1.6,1239
White Pigeon,46544,Michigan,7.0,5.8,6.4,5.8,7.9,6.2,11.5,13.0,14.7,12.1,7.4,5.4,2.7,1528
Port Hope,46429,Michigan,0.4,1.7,3.5,1.7,5.6,3.0,3.0,8.7,13.9,15.2,26.8,13.0,5.2,231
