Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
UNC,University of North Carolina,UNC,Raleigh,Wake,North Carolina,35.766667,-78.633333,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
UNC,University of North Carolina,UNC,Williamsboro,Granville,North Carolina,34.4304,-78.4317,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
UNC,University of North Carolina,UNC,Hillsboro,Orange,North Carolina,36.070556,-79.104167,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
UNC,University of North Carolina,UNC,Pittsboro,Chatham,North Carolina,35.720278,-79.176389,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
UNC,University of North Carolina,UNC,Smithfield,Johnston,North Carolina,35.509167,-78.346389,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
UNC,University of North Carolina,UNC,Goshen,Granville,North Carolina,,,0,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
NDSU,North Dakota State University,NDSU,Fargo,Cass,North Dakota,46.877222,-96.789444,1,,,,,,1,1883,1883,1884,,1,,1,,,,,,1,Land Grant College,,,,,,,2
NDSU,North Dakota State University,NDSU,Grand Forks,Grand Forks,North Dakota,47.925278,-97.0325,0,,,,,,1,1883,1883,1884,,1,,1,,,,,,1,Public University,,,,,,,2
NDSU,North Dakota State University,NDSU,Jamestown,Stutsman,North Dakota,46.905556,-98.703056,0,,,,,,1,1883,1883,1884,,1,,1,,,,,,1,Asylum,,,,,,,2
NDSU,North Dakota State University,NDSU,Bismarck,Burleigh,North Dakota,46.813333,-100.778889,0,,,,,,1,1883,1883,1884,,1,,1,,,,,,1,"Capital, Penitentiary",,,,,,,2
UND,University of North Dakota,UND,Grand Forks,Grand Forks,North Dakota,47.925278,-97.0325,1,,,,,,1,1883,1883,1884,,1,1,,,,,,,1,Public University,,,,,,,2
UND,University of North Dakota,UND,Fargo,Cass,North Dakota,46.877222,-96.789444,0,,,,,,1,1883,1883,1884,,1,1,,,,,,,1,Land Grant College,,,,,,,2
UND,University of North Dakota,UND,Jamestown,Stutsman,North Dakota,46.905556,-98.703056,0,,,,,,1,1883,1883,1884,,1,1,,,,,,,1,Asylum,,,,,,,2
